Date,Open,High,Low,Close,Adj Close,Volume
2022-06-15,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-06-16,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-06-17,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-06-20,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-06-21,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-06-22,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-06-23,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-06-24,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-06-27,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-06-28,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-06-29,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-06-30,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-07-01,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-07-04,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-07-05,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-07-06,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-07-07,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-07-08,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-07-11,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-07-12,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-07-13,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-07-14,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-07-15,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-07-18,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-07-19,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-07-20,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-07-21,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-07-22,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-07-25,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-07-26,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-07-27,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-07-28,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-07-29,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-08-01,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-08-02,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-08-03,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-08-04,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-08-05,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-08-08,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-08-09,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-08-10,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-08-11,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-08-12,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-08-15,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-08-16,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-08-18,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-08-19,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-08-22,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-08-23,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-08-24,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-08-25,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-08-26,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-08-29,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-08-30,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-08-31,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-09-01,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-09-02,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-09-05,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-09-06,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-09-07,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-09-08,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-09-09,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-09-12,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-09-13,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-09-14,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-09-15,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-09-16,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-09-19,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-09-20,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-09-21,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-09-22,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-09-23,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-09-26,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-09-27,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-09-28,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-09-29,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-09-30,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-10-03,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-10-04,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-10-05,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-10-06,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-10-07,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-10-10,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-10-11,222.000000,222.000000,222.000000,222.000000,222.000000,0
2022-10-12,222.000000,222.000000,222.000000,222.000000,222.000000,0
